NTopics,Coherence,Perplexity
2,0.3279701881266339,-3.437556509765755
3,0.2847083218402076,-3.456471803958837
4,0.28060558905996985,-3.4756978601863717
5,0.34882994717258425,-3.4957300285323467
6,0.3263105017794956,-3.5193084059698516
7,0.377371309652753,-3.554433777770965
8,0.38671814052740594,-3.6089133655850603
9,0.38054012054025393,-3.7039430381326737
10,0.3834003042341235,-3.870374479407028
11,0.39664298984762353,-4.154883218531834
12,0.3903086812163357,-4.573251886609242
13,0.4053519720691004,-5.1344032021616535
14,0.36486207661574505,-5.661455108197602
15,0.37364657896368675,-6.019267165744119
16,0.3638498967429023,-6.106808250929754
17,0.3707943562016983,-6.266832427299306
18,0.3506206024489448,-6.383690922210414
19,0.39208296930390985,-6.616298792976977
20,0.3987080116105817,-6.775703553192859
21,0.4050775157571703,-6.887282728872782
22,0.39574127574749257,-7.037331516442667
23,0.3949001885230944,-7.151140095860176
24,0.4010980118296654,-7.288127537791768
25,0.39931829257384166,-7.452891659670974
